ID	Gene Name	Species	GOTERM_CC_DIRECT
ENSG00000165996	3-hydroxyacyl-CoA dehydratase 1(HACD1)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,
ENSG00000206527	3-hydroxyacyl-CoA dehydratase 2(HACD2)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,
ENSG00000188921	3-hydroxyacyl-CoA dehydratase 4(HACD4)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0030176~integral component of endoplasmic reticulum membrane,
ENSG00000162882	3-hydroxyanthranilate 3,4-dioxygenase(HAAO)	Homo sapiens	GO:0005829~cytosol,GO:0070062~extracellular exosome,
ENSG00000161267	3-hydroxybutyrate dehydrogenase, type 1(BDH1)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0099617~matrix side of mitochondrial inner membrane,
ENSG00000164039	3-hydroxybutyrate dehydrogenase, type 2(BDH2)	Homo sapiens	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0070062~extracellular exosome,
ENSG00000106049	3-hydroxyisobutyrate dehydrogenase(HIBADH)	Homo sapiens	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,
ENSG00000198130	3-hydroxyisobutyryl-CoA hydrolase(HIBCH)	Homo sapiens	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0070062~extracellular exosome,
ENSG00000146151	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1(HMGCLL1)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0016020~membrane,GO:0048471~perinuclear region of cytoplasm,
ENSG00000119537	3-ketodihydrosphingosine reductase(KDSR)	Homo sapiens	GO:0005615~extracellular space,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,
ENSG00000083720	3-oxoacid CoA-transferase 1(OXCT1)	Homo sapiens	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,
ENSG00000198754	3-oxoacid CoA-transferase 2(OXCT2)	Homo sapiens	GO:0005739~mitochondrion,GO:0031514~motile cilium,
ENSG00000151093	3-oxoacyl-ACP synthase, mitochondrial(OXSM)	Homo sapiens	GO:0005737~cytoplasm,GO:0005739~mitochondrion,
ENSG00000140992	3-phosphoinositide dependent protein kinase 1(PDPK1)	Homo sapiens	GO:0005622~intracellular,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0014069~postsynaptic density,GO:0016020~membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0042995~cell projection,GO:0043204~perikaryon,
ENSG00000183044	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0032144~4-aminobutyrate transaminase complex,GO:0043005~neuron projection,GO:0070062~extracellular exosome,
ENSG00000241935	4-hydroxy-2-oxoglutarate aldolase 1(HOGA1)	Homo sapiens	GO:0005739~mitochondrion,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
ENSG00000125458	5', 3'-nucleotidase, cytosolic(NT5C)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0070062~extracellular exosome,
ENSG00000205309	5',3'-nucleotidase, mitochondrial(NT5M)	Homo sapiens	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,
ENSG00000114127	5'-3' exoribonuclease 1(XRN1)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0045111~intermediate filament cytoskeleton,
ENSG00000088930	5'-3' exoribonuclease 2(XRN2)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0016020~membrane,GO:0016235~aggresome,
ENSG00000023330	5'-aminolevulinate synthase 1(ALAS1)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,
ENSG00000178425	5'-nucleotidase domain containing 1(NT5DC1)	Homo sapiens	GO:0016021~integral component of membrane,
ENSG00000111696	5'-nucleotidase domain containing 3(NT5DC3)	Homo sapiens	GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0043235~receptor complex,
ENSG00000135318	5'-nucleotidase ecto(NT5E)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031225~anchored component of membrane,GO:0070062~extracellular exosome,
ENSG00000116981	5'-nucleotidase, cytosolic IA(NT5C1A)	Homo sapiens	GO:0005829~cytosol,
ENSG00000076685	5'-nucleotidase, cytosolic II(NT5C2)	Homo sapiens	GO:0005829~cytosol,
ENSG00000122643	5'-nucleotidase, cytosolic IIIA(NT5C3A)	Homo sapiens	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,
ENSG00000136371	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)(MTHFS)	Homo sapiens	GO:0005737~cytoplasm,GO:0005759~mitochondrial matrix,GO:0005829~cytosol,
ENSG00000138363	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC)	Homo sapiens	GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0005913~cell-cell adherens junction,GO:0016020~membrane,GO:0070062~extracellular exosome,
ENSG00000163512	5-azacytidine induced 2(AZI2)	Homo sapiens	GO:0005737~cytoplasm,
ENSG00000178394	5-hydroxytryptamine receptor 1A(HTR1A)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,
ENSG00000135312	5-hydroxytryptamine receptor 1B(HTR1B)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,
ENSG00000179546	5-hydroxytryptamine receptor 1D(HTR1D)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,
ENSG00000168830	5-hydroxytryptamine receptor 1E(HTR1E)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,
ENSG00000179097	5-hydroxytryptamine receptor 1F(HTR1F)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,
ENSG00000102468	5-hydroxytryptamine receptor 2A(HTR2A)	Homo sapiens	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005901~caveola,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0030424~axon,GO:0030425~dendrite,GO:0031410~cytoplasmic vesicle,GO:0043025~neuronal cell body,GO:0043198~dendritic shaft,GO:0070852~cell body fiber,
ENSG00000147246	5-hydroxytryptamine receptor 2C(HTR2C)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,
ENSG00000166736	5-hydroxytryptamine receptor 3A(HTR3A)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030424~axon,GO:0043025~neuronal cell body,GO:0045211~postsynaptic membrane,GO:1904602~serotonin-activated cation-selective channel complex,
ENSG00000149305	5-hydroxytryptamine receptor 3B(HTR3B)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0045211~postsynaptic membrane,GO:1904602~serotonin-activated cation-selective channel complex,
ENSG00000164270	5-hydroxytryptamine receptor 4(HTR4)	Homo sapiens	GO:0005737~cytoplasm,GO:0005768~endosome,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,
ENSG00000157219	5-hydroxytryptamine receptor 5A(HTR5A)	Homo sapiens	GO:0005791~rough endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0030425~dendrite,GO:0043204~perikaryon,
ENSG00000158748	5-hydroxytryptamine receptor 6(HTR6)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005929~cilium,GO:0030425~dendrite,
ENSG00000148680	5-hydroxytryptamine receptor 7(HTR7)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,
ENSG00000116984	5-methyltetrahydrofolate-homocysteine methyltransferase(MTR)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,
ENSG00000178814	5-oxoprolinase (ATP-hydrolysing)(OPLAH)	Homo sapiens	GO:0005829~cytosol,
ENSG00000175309	5-phosphohydroxy-L-lysine phospho-lyase(PHYKPL)	Homo sapiens	GO:0005759~mitochondrial matrix,
ENSG00000123836	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2(PFKFB2)	Homo sapiens	GO:0005829~cytosol,
ENSG00000170525	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3(PFKFB3)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005829~cytosol,
ENSG00000114268	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4(PFKFB4)	Homo sapiens	GO:0005829~cytosol,
ENSG00000130313	6-phosphogluconolactonase(PGLS)	Homo sapiens	GO:0005829~cytosol,GO:0070062~extracellular exosome,
ENSG00000150787	6-pyruvoyltetrahydropterin synthase(PTS)	Homo sapiens	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,
ENSG00000172893	7-dehydrocholesterol reductase(DHCR7)	Homo sapiens	GO:0005640~nuclear outer membrane,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,GO:0043231~intracellular membrane-bounded organelle,
ENSG00000114026	8-oxoguanine DNA glycosylase(OGG1)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0016363~nuclear matrix,GO:0016607~nuclear speck,GO:0043234~protein complex,
ENSG00000078061	A-Raf proto-oncogene, serine/threonine kinase(ARAF)	Homo sapiens	GO:0005622~intracellular,GO:0005739~mitochondrion,GO:0005829~cytosol,
ENSG00000121057	A-kinase anchoring protein 1(AKAP1)	Homo sapiens	GO:0005739~mitochondrion,GO:0005741~mitochondrial outer membrane,GO:0005829~cytosol,GO:0016020~membrane,GO:0016021~integral component of membrane,
ENSG00000108599	A-kinase anchoring protein 10(AKAP10)	Homo sapiens	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0005886~plasma membrane,
ENSG00000023516	A-kinase anchoring protein 11(AKAP11)	Homo sapiens	GO:0005777~peroxisome,GO:0005815~microtubule organizing center,
ENSG00000131016	A-kinase anchoring protein 12(AKAP12)	Homo sapiens	GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0005938~cell cortex,
ENSG00000111254	A-kinase anchoring protein 3(AKAP3)	Homo sapiens	GO:0001669~acrosomal vesicle,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0035686~sperm fibrous sheath,GO:0097228~sperm principal piece,
ENSG00000179841	A-kinase anchoring protein 5(AKAP5)	Homo sapiens	GO:0005622~intracellular,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,
ENSG00000151320	A-kinase anchoring protein 6(AKAP6)	Homo sapiens	GO:0005635~nuclear envelope,GO:0005737~cytoplasm,GO:0005901~caveola,GO:0014701~junctional sarcoplasmic reticulum membrane,GO:0014704~intercalated disc,GO:0016529~sarcoplasmic reticulum,GO:0030315~T-tubule,GO:0031965~nuclear membrane,GO:0034704~calcium channel complex,GO:0048471~perinuclear region of cytoplasm,
ENSG00000118507	A-kinase anchoring protein 7(AKAP7)	Homo sapiens	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016324~apical plasma membrane,GO:0016328~lateral plasma membrane,
ENSG00000127914	A-kinase anchoring protein 9(AKAP9)	Homo sapiens	GO:0005794~Golgi apparatus,GO:0005795~Golgi stack,GO:0005801~cis-Golgi network,GO:0005813~centrosome,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0008076~voltage-gated potassium channel complex,GO:0043025~neuronal cell body,GO:0043231~intracellular membrane-bounded organelle,GO:0044307~dendritic branch,GO:0097060~synaptic membrane,
ENSG00000166452	A-kinase interacting protein 1(AKIP1)	Homo sapiens	GO:0005654~nucleoplasm,
ENSG00000154175	ABI family member 3 binding protein(ABI3BP)	Homo sapiens	GO:0005614~interstitial matrix,GO:0005615~extracellular space,GO:0031012~extracellular matrix,
ENSG00000108798	ABI family member 3(ABI3)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0016020~membrane,GO:0030027~lamellipodium,
ENSG00000097007	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens	GO:0001726~ruffle,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,GO:0015629~actin cytoskeleton,GO:0030426~growth cone,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0031252~cell leading edge,GO:0031965~nuclear membrane,GO:0043025~neuronal cell body,GO:0045202~synapse,GO:0048471~perinuclear region of cytoplasm,
ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens	GO:0005829~cytosol,GO:0015629~actin cytoskeleton,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,
ENSG00000137845	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005798~Golgi-associated vesicle,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0009986~cell surface,GO:0014069~postsynaptic density,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,GO:0097038~perinuclear endoplasmic reticulum,GO:0097197~tetraspanin-enriched microdomain,
ENSG00000073670	ADAM metallopeptidase domain 11(ADAM11)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031012~extracellular matrix,
ENSG00000148848	ADAM metallopeptidase domain 12(ADAM12)	Homo sapiens	GO:0005576~extracellular region,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
ENSG00000143537	ADAM metallopeptidase domain 15(ADAM15)	Homo sapiens	GO:0001669~acrosomal vesicle,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0042995~cell projection,GO:0070062~extracellular exosome,
ENSG00000135074	ADAM metallopeptidase domain 19(ADAM19)	Homo sapiens	GO:0005794~Golgi apparatus,GO:0016021~integral component of membrane,
ENSG00000139985	ADAM metallopeptidase domain 21(ADAM21)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0043025~neuronal cell body,
ENSG00000008277	ADAM metallopeptidase domain 22(ADAM22)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030424~axon,
ENSG00000114948	ADAM metallopeptidase domain 23(ADAM23)	Homo sapiens	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
ENSG00000042980	ADAM metallopeptidase domain 28(ADAM28)	Homo sapiens	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
ENSG00000168594	ADAM metallopeptidase domain 29(ADAM29)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
ENSG00000149451	ADAM metallopeptidase domain 33(ADAM33)	Homo sapiens	GO:0016021~integral component of membrane,
ENSG00000151651	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens	GO:0002102~podosome,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0032010~phagolysosome,GO:0032127~dense core granule membrane,GO:0042581~specific granule,GO:0070820~tertiary granule,GO:0071065~alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex,GO:0071133~alpha9-beta1 integrin-ADAM8 complex,
ENSG00000168615	ADAM metallopeptidase domain 9(ADAM9)	Homo sapiens	GO:0005615~extracellular space,GO:0005925~focal adhesion,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0031233~intrinsic component of external side of plasma membrane,GO:0070062~extracellular exosome,
ENSG00000142303	ADAM metallopeptidase with thrombospondin type 1 motif 10(ADAMTS10)	Homo sapiens	GO:0001527~microfibril,GO:0005578~proteinaceous extracellular matrix,GO:0031012~extracellular matrix,
ENSG00000160323	ADAM metallopeptidase with thrombospondin type 1 motif 13(ADAMTS13)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0009986~cell surface,
ENSG00000138316	ADAM metallopeptidase with thrombospondin type 1 motif 14(ADAMTS14)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,
ENSG00000145536	ADAM metallopeptidase with thrombospondin type 1 motif 16(ADAMTS16)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,
ENSG00000140470	ADAM metallopeptidase with thrombospondin type 1 motif 17(ADAMTS17)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,
ENSG00000140873	ADAM metallopeptidase with thrombospondin type 1 motif 18(ADAMTS18)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0016021~integral component of membrane,
ENSG00000145808	ADAM metallopeptidase with thrombospondin type 1 motif 19(ADAMTS19)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,
ENSG00000087116	ADAM metallopeptidase with thrombospondin type 1 motif 2(ADAMTS2)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,
ENSG00000156140	ADAM metallopeptidase with thrombospondin type 1 motif 3(ADAMTS3)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,
ENSG00000154736	ADAM metallopeptidase with thrombospondin type 1 motif 5(ADAMTS5)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,
ENSG00000136378	ADAM metallopeptidase with thrombospondin type 1 motif 7(ADAMTS7)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0005788~endoplasmic reticulum lumen,GO:0009986~cell surface,
ENSG00000134917	ADAM metallopeptidase with thrombospondin type 1 motif 8(ADAMTS8)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0031012~extracellular matrix,
ENSG00000178031	ADAMTS like 1(ADAMTSL1)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0005788~endoplasmic reticulum lumen,
ENSG00000197859	ADAMTS like 2(ADAMTSL2)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,
ENSG00000156218	ADAMTS like 3(ADAMTSL3)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,
ENSG00000143382	ADAMTS like 4(ADAMTSL4)	Homo sapiens	GO:0005614~interstitial matrix,GO:0005788~endoplasmic reticulum lumen,GO:0031012~extracellular matrix,
ENSG00000185761	ADAMTS like 5(ADAMTSL5)	Homo sapiens	GO:0001527~microfibril,GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0031012~extracellular matrix,
ENSG00000078549	ADCYAP receptor type I(ADCYAP1R1)	Homo sapiens	GO:0005768~endosome,GO:0005791~rough endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005901~caveola,GO:0005923~bicellular tight junction,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0043005~neuron projection,GO:0043235~receptor complex,
ENSG00000134287	ADP ribosylation factor 3(ARF3)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005622~intracellular,GO:0005794~Golgi apparatus,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,
ENSG00000004059	ADP ribosylation factor 5(ARF5)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,
ENSG00000101199	ADP ribosylation factor GTPase activating protein 1(ARFGAP1)	Homo sapiens	GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0014069~postsynaptic density,GO:0045202~synapse,
ENSG00000149182	ADP ribosylation factor GTPase activating protein 2(ARFGAP2)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,
ENSG00000066777	ADP ribosylation factor guanine nucleotide exchange factor 1(ARFGEF1)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005802~trans-Golgi network,GO:0005829~cytosol,GO:0016363~nuclear matrix,GO:0030532~small nuclear ribonucleoprotein complex,GO:0048471~perinuclear region of cytoplasm,
ENSG00000124198	ADP ribosylation factor guanine nucleotide exchange factor 2(ARFGEF2)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005802~trans-Golgi network,GO:0005815~microtubule organizing center,GO:0005829~cytosol,GO:0005879~axonemal microtubule,GO:0016020~membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0030054~cell junction,GO:0031410~cytoplasmic vesicle,GO:0032279~asymmetric synapse,GO:0032280~symmetric synapse,GO:0043197~dendritic spine,GO:0048471~perinuclear region of cytoplasm,GO:0055037~recycling endosome,
ENSG00000164144	ADP ribosylation factor interacting protein 1(ARFIP1)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005829~cytosol,GO:0005913~cell-cell adherens junction,GO:0032588~trans-Golgi network membrane,
ENSG00000132254	ADP ribosylation factor interacting protein 2(ARFIP2)	Homo sapiens	GO:0001726~ruffle,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005913~cell-cell adherens junction,GO:0005938~cell cortex,GO:0032588~trans-Golgi network membrane,
ENSG00000120805	ADP ribosylation factor like GTPase 1(ARL1)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005802~trans-Golgi network,GO:0005829~cytosol,GO:0032588~trans-Golgi network membrane,GO:0070062~extracellular exosome,
ENSG00000175414	ADP ribosylation factor like GTPase 10(ARL10)	Homo sapiens	GO:0005622~intracellular,GO:0016021~integral component of membrane,
ENSG00000152213	ADP ribosylation factor like GTPase 11(ARL11)	Homo sapiens	GO:0005622~intracellular,
