"id_with_url","name","species","feature_type","description"
"ENSG00000126749","EMG1","Human","Gene","EMG1, N1-specific pseudouridine methyltransferase [Source:HGNC Symbol;Acc:HGNC:16912]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000126749"
"ENSG00000167721","TSR1","Human","Gene","TSR1, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:25542]  TSR1, 20S rRNA ACCUMULATION, S. CEREVISIAE, HOMOLOG OF; TSR1 [*611214] (MIM gene record; description: TSR1, 20S rRNA ACCUMULATION, S. CEREVISIAE, HOMOLOG OF; TSR1;;KIAA1401,) is an external reference matched to Gene ENSG00000167721"
"ENSG00000213264","NIP7P2","Human","Gene","NIP7, nucleolar pre-rRNA processing protein pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:45181]  NIP7P2-001 (HGNC transcript name record; description: NIP7, nucleolar pre-rRNA processing protein pseudogene 2,) is an external reference matched to Transcript ENST00000485801"
"ENSG00000218428","NIP7P3","Human","Gene","NIP7, nucleolar pre-rRNA processing protein pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:45182]  NIP7P3-001 (HGNC transcript name record; description: NIP7, nucleolar pre-rRNA processing protein pseudogene 3,) is an external reference matched to Transcript ENST00000404319"
"ENSG00000268439","EMG1","Human","Gene","EMG1, N1-specific pseudouridine methyltransferase [Source:HGNC Symbol;Acc:HGNC:16912]  GO:0070475 (GO record; description: rRNA base methylation,) is an external reference matched to Translation ENSP00000480420"
"ENSG00000147679","UTP23","Human","Gene","UTP23, small subunit processome component [Source:HGNC Symbol;Acc:HGNC:28224]  Q9BRU9 (UniProtKB/Swiss-Prot record; description: rRNA-processing protein UTP23 homolog,) is an external reference matched to Translation ENSP00000308332"
"ENSG00000117597","DIEXF","Human","Gene","digestive organ expansion factor homolog (zebrafish) [Source:HGNC Symbol;Acc:HGNC:28440]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000117597"
"ENSG00000124541","RRP36","Human","Gene","ribosomal RNA processing 36 [Source:HGNC Symbol;Acc:HGNC:21374]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000124541"
"ENSG00000283433","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000120158","RCL1","Human","Gene","RNA terminal phosphate cyclase like 1 [Source:HGNC Symbol;Acc:HGNC:17687]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000120158"
"ENSG00000007520","TSR3","Human","Gene","TSR3, acp transferase ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000007520"
"ENSG00000111615","KRR1","Human","Gene","KRR1, small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000111615"
"ENSG00000184967","NOC4L","Human","Gene","nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000184967"
"ENSG00000210082","MT-RNR2","Human","Gene","mitochondrially encoded 16S RNA [Source:HGNC Symbol;Acc:HGNC:7471]  RNR2 (NCBI gene record; description: l-rRNA,) is an external reference matched to Gene ENSG00000210082"
"ENSG00000211459","MT-RNR1","Human","Gene","mitochondrially encoded 12S RNA [Source:HGNC Symbol;Acc:HGNC:7470]  RNR1 (NCBI gene record; description: s-rRNA,) is an external reference matched to Gene ENSG00000211459"
"ENSG00000261236","BOP1","Human","Gene","block of proliferation 1 [Source:HGNC Symbol;Acc:HGNC:15519]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000261236"
"ENSG00000112578","BYSL","Human","Gene","bystin like [Source:HGNC Symbol;Acc:HGNC:1157]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000112578"
"ENSG00000117481","NSUN4","Human","Gene","NOP2/Sun RNA methyltransferase family member 4 [Source:HGNC Symbol;Acc:HGNC:31802]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000117481"
"ENSG00000165733","BMS1","Human","Gene","BMS1, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:23505]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000165733"
"ENSG00000138442","WDR12","Human","Gene","WD repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:14098]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000138442"
"ENSG00000105202","FBL","Human","Gene","fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000105202"
"ENSG00000253797","UTP14C","Human","Gene","UTP14, small subunit processome component homolog C (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:20321]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000253797"
"ENSG00000164603","BMT2","Human","Gene","base methyltransferase of 25S rRNA 2 homolog [Source:HGNC Symbol;Acc:HGNC:26475]  BMT2-001 (HGNC transcript name record; description: base methyltransferase of 25S rRNA 2 homolog,) is an external reference matched to Transcript ENST00000297145"
"ENSG00000209082","MT-TL1","Human","Gene","mitochondrially encoded tRNA leucine 1 (UUA/G) [Source:HGNC Symbol;Acc:HGNC:7490]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000386347"
"ENSG00000210049","MT-TF","Human","Gene","mitochondrially encoded tRNA phenylalanine [Source:HGNC Symbol;Acc:HGNC:7481]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387314"
"ENSG00000210100","MT-TI","Human","Gene","mitochondrially encoded tRNA isoleucine [Source:HGNC Symbol;Acc:HGNC:7488]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387365"
"ENSG00000210112","MT-TM","Human","Gene","mitochondrially encoded tRNA methionine [Source:HGNC Symbol;Acc:HGNC:7492]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387377"
"ENSG00000210117","MT-TW","Human","Gene","mitochondrially encoded tRNA tryptophan [Source:HGNC Symbol;Acc:HGNC:7501]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387382"
"ENSG00000210154","MT-TD","Human","Gene","mitochondrially encoded tRNA aspartic acid [Source:HGNC Symbol;Acc:HGNC:7478]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387419"
"ENSG00000210156","MT-TK","Human","Gene","mitochondrially encoded tRNA lysine [Source:HGNC Symbol;Acc:HGNC:7489]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387421"
"ENSG00000210164","MT-TG","Human","Gene","mitochondrially encoded tRNA glycine [Source:HGNC Symbol;Acc:HGNC:7486]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387429"
"ENSG00000210174","MT-TR","Human","Gene","mitochondrially encoded tRNA arginine [Source:HGNC Symbol;Acc:HGNC:7496]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387439"
"ENSG00000210176","MT-TH","Human","Gene","mitochondrially encoded tRNA histidine [Source:HGNC Symbol;Acc:HGNC:7487]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387441"
"ENSG00000210184","MT-TS2","Human","Gene","mitochondrially encoded tRNA serine 2 (AGU/C) [Source:HGNC Symbol;Acc:HGNC:7498]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387449"
"ENSG00000210191","MT-TL2","Human","Gene","mitochondrially encoded tRNA leucine 2 (CUN) [Source:HGNC Symbol;Acc:HGNC:7491]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387456"
"ENSG00000210195","MT-TT","Human","Gene","mitochondrially encoded tRNA threonine [Source:HGNC Symbol;Acc:HGNC:7499]  R-HSA-72312 (Reactome transcript record; description: rRNA processing,) is an external reference matched to Transcript ENST00000387460"
"ENSG00000232805","NIP7P1","Human","Gene","NIP7, nucleolar pre-rRNA processing protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45180]  NIP7P1-001 (HGNC transcript name record; description: NIP7, nucleolar pre-rRNA processing protein pseudogene 1,) is an external reference matched to Transcript ENST00000433227"
"ENSG00000201285","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000212595","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000283274","5_8S_rRNA","Human","Gene","5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]"
"ENSG00000283291","5_8S_rRNA","Human","Gene","5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]"
"ENSG00000283568","5_8S_rRNA","Human","Gene","5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]"
"ENSG00000274059","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000274097","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000274408","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000274663","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000274759","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000275305","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000275877","5_8S_rRNA","Human","Gene","5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]"
"ENSG00000276442","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000276861","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000276871","5_8S_rRNA","Human","Gene","5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]"
"ENSG00000277049","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000277411","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000277418","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000277488","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000278294","5_8S_rRNA","Human","Gene","5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]"
"ENSG00000278457","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000252830","5S_rRNA","Human","Gene","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"ENSG00000188573","FBLL1","Human","Gene","fibrillarin-like 1 [Source:HGNC Symbol;Acc:HGNC:35458]  GO:0031167 (GO record; description: rRNA methylation,) is an external reference matched to Translation ENSP00000473383"
"ENSG00000268257","AIRN","Human","Gene","antisense of IGF2R non-protein coding RNA [Source:HGNC Symbol;Acc:HGNC:34515]"
"ENSG00000274853","MRM1","Human","Gene","mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000274853"
"ENSG00000071462","WBSCR22","Human","Gene","Williams-Beuren syndrome chromosome region 22 [Source:HGNC Symbol;Acc:HGNC:16405]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000071462"
"ENSG00000171858","RPS21","Human","Gene","ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000171858"
"ENSG00000114767","RRP9","Human","Gene","ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:16829]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000114767"
"ENSG00000117133","RPF1","Human","Gene","ribosome production factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:30350]  GO:0019843 (GO record; description: rRNA binding,) is an external reference matched to Translation ENSP00000359688"
"ENSG00000086189","DIMT1","Human","Gene","DIM1 dimethyladenosine transferase 1 homolog [Source:HGNC Symbol;Acc:HGNC:30217]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000086189"
"ENSG00000162408","NOL9","Human","Gene","nucleolar protein 9 [Source:HGNC Symbol;Acc:HGNC:26265]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000162408"
"ENSG00000100029","PES1","Human","Gene","pescadillo ribosomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8848]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000100029"
"ENSG00000227057","WDR46","Human","Gene","WD repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:13923]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000227057"
"ENSG00000241945","PWP2","Human","Gene","PWP2 periodic tryptophan protein homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:9711]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000241945"
"ENSG00000108651","UTP6","Human","Gene","UTP6, small subunit processome component [Source:HGNC Symbol;Acc:HGNC:18279]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000108651"
"ENSG00000119285","HEATR1","Human","Gene","HEAT repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25517]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000119285"
"ENSG00000011260","UTP18","Human","Gene","UTP18, small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000011260"
"ENSG00000065183","WDR3","Human","Gene","WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000065183"
"ENSG00000183751","TBL3","Human","Gene","transducin beta like 3 [Source:HGNC Symbol;Acc:HGNC:11587]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000183751"
"ENSG00000197498","RPF2","Human","Gene","ribosome production factor 2 homolog [Source:HGNC Symbol;Acc:HGNC:20870]  GO:0019843 (GO record; description: rRNA binding,) is an external reference matched to Translation ENSP00000402338"
"ENSG00000223496","EXOSC6","Human","Gene","exosome component 6 [Source:HGNC Symbol;Acc:HGNC:19055]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000223496"
"ENSG00000109534","GAR1","Human","Gene","GAR1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14264]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000109534"
"ENSG00000124383","MPHOSPH10","Human","Gene","M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000124383"
"ENSG00000162851","TFB2M","Human","Gene","transcription factor B2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:18559]  TRANSCRIPTION FACTOR B2, MITOCHONDRIAL; TFB2M [*607055] (MIM gene record; description: TRANSCRIPTION FACTOR B2, MITOCHONDRIAL; TFB2M;;MITOCHONDRIAL 12S rRNA DIMETHYLASE 2;;DIMETHYLADENOSINE TRANSFERASE 2, MITOCHONDRIAL;;mtTFB2,) is an external reference matched to Gene ENSG00000162851"
"ENSG00000141101","NOB1","Human","Gene","NIN1/PSMD8 binding protein 1 homolog [Source:HGNC Symbol;Acc:HGNC:29540]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000141101"
"ENSG00000182117","NOP10","Human","Gene","NOP10 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14378]  R-HSA-72312 (Reactome gene record; description: rRNA processing,) is an external reference matched to Gene ENSG00000182117"
"ENSG00000067533","RRP15","Human","Gene","ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]  GO:0000460 (GO record; description: maturation of 5.8S rRNA,) is an external reference matched to Translation ENSP00000355899"
"ENSG00000164587","RPS14","Human","Gene","ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]  R-HSA-6791226 (Reactome gene record; description: Major pathway of rRNA processing in the nucleolus and cytosol,) is an external reference matched to Gene ENSG00000164587"
"ENSG00000199202","RNA5SP289","Human","Gene","RNA, 5S ribosomal pseudogene 289 [Source:HGNC Symbol;Acc:HGNC:43189]"
"ENSG00000199240","RNA5SP46","Human","Gene","RNA, 5S ribosomal pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:42822]"
"ENSG00000199270","RNA5S12","Human","Gene","RNA, 5S ribosomal 12 [Source:HGNC Symbol;Acc:HGNC:34373]"
"ENSG00000199276","RNA5SP26","Human","Gene","RNA, 5S ribosomal pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:42602]"
"ENSG00000199299","RNA5SP430","Human","Gene","RNA, 5S ribosomal pseudogene 430 [Source:HGNC Symbol;Acc:HGNC:43330]"
"ENSG00000199315","RNA5SP347","Human","Gene","RNA, 5S ribosomal pseudogene 347 [Source:HGNC Symbol;Acc:HGNC:43247]"
"ENSG00000199318","RNA5SP52","Human","Gene","RNA, 5S ribosomal pseudogene 52 [Source:HGNC Symbol;Acc:HGNC:42829]"
"ENSG00000199322","RNA5SP183","Human","Gene","RNA, 5S ribosomal pseudogene 183 [Source:HGNC Symbol;Acc:HGNC:43083]"
"ENSG00000199334","RNA5S11","Human","Gene","RNA, 5S ribosomal 11 [Source:HGNC Symbol;Acc:HGNC:34372]"
"ENSG00000199337","RNA5S3","Human","Gene","RNA, 5S ribosomal 3 [Source:HGNC Symbol;Acc:HGNC:34364]"
"ENSG00000199350","RNA5SP432","Human","Gene","RNA, 5S ribosomal pseudogene 432 [Source:HGNC Symbol;Acc:HGNC:43332]"
"ENSG00000199352","RNA5S1","Human","Gene","RNA, 5S ribosomal 1 [Source:HGNC Symbol;Acc:HGNC:34362]"
"ENSG00000199354","RNA5SP273","Human","Gene","RNA, 5S ribosomal pseudogene 273 [Source:HGNC Symbol;Acc:HGNC:43173]"
"ENSG00000199364","RNA5SP327","Human","Gene","RNA, 5S ribosomal pseudogene 327 [Source:HGNC Symbol;Acc:HGNC:43227]"
"ENSG00000199373","RNA5SP453","Human","Gene","RNA, 5S ribosomal pseudogene 453 [Source:HGNC Symbol;Acc:HGNC:43353]"
"ENSG00000199395","RNA5SP93","Human","Gene","RNA, 5S ribosomal pseudogene 93 [Source:HGNC Symbol;Acc:HGNC:42891]"
"ENSG00000199396","RNA5S5","Human","Gene","RNA, 5S ribosomal 5 [Source:HGNC Symbol;Acc:HGNC:34366]"
"ENSG00000199402","RNA5SP308","Human","Gene","RNA, 5S ribosomal pseudogene 308 [Source:HGNC Symbol;Acc:HGNC:43208]"
"ENSG00000199404","RNA5SP250","Human","Gene","RNA, 5S ribosomal pseudogene 250 [Source:HGNC Symbol;Acc:HGNC:43150]"
"ENSG00000199407","RNA5SP301","Human","Gene","RNA, 5S ribosomal pseudogene 301 [Source:HGNC Symbol;Acc:HGNC:43201]"
"ENSG00000199415","RNA5SP370","Human","Gene","RNA, 5S ribosomal pseudogene 370 [Source:HGNC Symbol;Acc:HGNC:43270]"
"ENSG00000199450","RNA5SP276","Human","Gene","RNA, 5S ribosomal pseudogene 276 [Source:HGNC Symbol;Acc:HGNC:43176]"
"ENSG00000199454","RNA5SP388","Human","Gene","RNA, 5S ribosomal pseudogene 388 [Source:HGNC Symbol;Acc:HGNC:43288]"
"ENSG00000199455","RNA5SP191","Human","Gene","RNA, 5S ribosomal pseudogene 191 [Source:HGNC Symbol;Acc:HGNC:43091]"
"ENSG00000199480","RNA5SP389","Human","Gene","RNA, 5S ribosomal pseudogene 389 [Source:HGNC Symbol;Acc:HGNC:43289]"
"ENSG00000199508","RNA5SP110","Human","Gene","RNA, 5S ribosomal pseudogene 110 [Source:HGNC Symbol;Acc:HGNC:42908]"
"ENSG00000199509","RNA5SP477","Human","Gene","RNA, 5S ribosomal pseudogene 477 [Source:HGNC Symbol;Acc:HGNC:43377]"
"ENSG00000199523","RNA5SP226","Human","Gene","RNA, 5S ribosomal pseudogene 226 [Source:HGNC Symbol;Acc:HGNC:43126]"
"ENSG00000199525","RNA5SP295","Human","Gene","RNA, 5S ribosomal pseudogene 295 [Source:HGNC Symbol;Acc:HGNC:43195]"
"ENSG00000199535","RNA5SP305","Human","Gene","RNA, 5S ribosomal pseudogene 305 [Source:HGNC Symbol;Acc:HGNC:43205]"
"ENSG00000199545","RNA5SP195","Human","Gene","RNA, 5S ribosomal pseudogene 195 [Source:HGNC Symbol;Acc:HGNC:43095]"
"ENSG00000199556","RNA5SP361","Human","Gene","RNA, 5S ribosomal pseudogene 361 [Source:HGNC Symbol;Acc:HGNC:43261]"
"ENSG00000199564","RNA5SP502","Human","Gene","RNA, 5S ribosomal pseudogene 502 [Source:HGNC Symbol;Acc:HGNC:43402]"
"ENSG00000199572","RNA5SP174","Human","Gene","RNA, 5S ribosomal pseudogene 174 [Source:HGNC Symbol;Acc:HGNC:43074]"
"ENSG00000199585","RNA5SP119","Human","Gene","RNA, 5S ribosomal pseudogene 119 [Source:HGNC Symbol;Acc:HGNC:42917]"
"ENSG00000199592","RNA5SP321","Human","Gene","RNA, 5S ribosomal pseudogene 321 [Source:HGNC Symbol;Acc:HGNC:43221]"
"ENSG00000199609","RNA5SP124","Human","Gene","RNA, 5S ribosomal pseudogene 124 [Source:HGNC Symbol;Acc:HGNC:43024]"
"ENSG00000199620","RNA5SP258","Human","Gene","RNA, 5S ribosomal pseudogene 258 [Source:HGNC Symbol;Acc:HGNC:43158]"
"ENSG00000199638","RNA5SP319","Human","Gene","RNA, 5S ribosomal pseudogene 319 [Source:HGNC Symbol;Acc:HGNC:43219]"
"ENSG00000199733","RNA5SP307","Human","Gene","RNA, 5S ribosomal pseudogene 307 [Source:HGNC Symbol;Acc:HGNC:43207]"
"ENSG00000199771","RNA5SP426","Human","Gene","RNA, 5S ribosomal pseudogene 426 [Source:HGNC Symbol;Acc:HGNC:43326]"
"ENSG00000199786","RNA5SP188","Human","Gene","RNA, 5S ribosomal pseudogene 188 [Source:HGNC Symbol;Acc:HGNC:43088]"
"ENSG00000199804","RNA5SP383","Human","Gene","RNA, 5S ribosomal pseudogene 383 [Source:HGNC Symbol;Acc:HGNC:43283]"
"ENSG00000199806","RNA5SP491","Human","Gene","RNA, 5S ribosomal pseudogene 491 [Source:HGNC Symbol;Acc:HGNC:43391]"
"ENSG00000199809","RNA5SP374","Human","Gene","RNA, 5S ribosomal pseudogene 374 [Source:HGNC Symbol;Acc:HGNC:43274]"
"ENSG00000199837","RNA5SP71","Human","Gene","RNA, 5S ribosomal pseudogene 71 [Source:HGNC Symbol;Acc:HGNC:42848]"
